num;open;close;low;high
167;76.11;75.62;75.06;76.45;
168;75.82;73.19;71.77;76.07;
169;72.98;69.73;69.49;73.03;
170;69.04;73.62;67.97;73.77;
171;74.22;72.96;72.33;74.69;
172;73.93;72.46;65.37;74.46;
173;71.96;72.27;70.86;72.47;
174;71.28;71.83;70.94;72.37;
175;72.27;73.99;72.26;74.24;
176;73.27;78.53;73.19;80.4;
177;78.8;78.84;77.6;80.28;
178;78.86;78.99;77.79;79.96;
179;79.59;80.04;79.09;81.02;
180;79.77;81.34;79.66;81.75;
181;81.14;79.86;79.71;82.26;
182;79.37;79.17;78.5;79.76;
183;79.27;81.63;79.14;81.65;
184;81.99;82.18;80.52;82.52;
185;82.04;83.65;81.36;84.15;
186;84.04;83.35;82.19;84.33;
187;82.76;85.74;82.58;85.93;
188;85.89;86.74;85.31;87.56;
189;86.18;84.29;83.9;86.92;
190;84.56;84.71;83.69;85.34;
191;85.25;85.57;84.13;85.96;
192;85.72;84.8;84.26;85.95;
193;84.1;86.06;84.1;87.21;
194;85.37;86.57;84.73;86.82;
195;86.45;87.74;86.2;88.44;
196;87.89;87.26;86.81;89.0;
197;87.75;89.01;86.34;89.24;
198;89.27;88.25;88.25;89.57;
199;88.57;89.05;87.93;89.06;
200;88.94;88.9;88.47;89.15;
201;84.44;84.96;84.11;85.68;
202;85.4;83.77;80.5;85.51;
203;84.18;83.76;83.17;84.6;
204;84.96;84.82;80.5;85.62;
205;84.84;84.13;84.04;85.18;
206;84.19;83.76;83.37;85.26;
207;84.02;86.42;83.88;86.57;
208;86.07;84.64;83.89;86.44;
209;84.8;83.95;83.4;85.08;
210;84.22;84.72;84.02;85.01;
211;84.48;83.93;83.06;84.73;
212;84.48;83.91;83.08;84.49;
213;84.37;85.76;84.18;86.03;
214;85.91;85.22;85.22;86.47;
215;85.48;84.02;83.77;85.82;
216;84.2;85.15;83.92;85.78;
217;85.29;84.96;84.63;86.65;
218;86.2;85.12;79.0;91.0;
219;85.64;84.33;83.4;86.12;
220;85.0;84.47;83.73;85.0;
221;84.88;83.67;83.52;84.89;
222;83.83;83.23;82.9;84.04;
223;83.12;83.65;82.62;84.05;
224;83.7;81.41;80.52;83.7;
225;79.84;80.2;79.63;81.0;
226;79.83;76.65;76.52;79.86;
227;77.27;78.21;77.02;78.8;
228;78.43;77.25;76.65;79.0;
229;76.92;76.72;75.74;77.3;
230;76.83;75.26;75.07;77.05;
231;74.51;72.7;72.54;74.54;
232;72.52;73.3;71.89;74.53;
233;72.76;73.92;72.4;75.9;
234;73.73;73.43;73.15;75.2;
235;72.82;72.43;71.46;73.44;
236;72.81;72.74;71.88;73.62;
237;72.95;71.69;71.53;73.26;
238;71.31;69.04;68.92;71.37;
239;68.45;68.54;66.13;69.33;
240;67.85;70.63;67.84;70.74;
241;71.97;74.24;71.97;74.36;
242;74.05;73.35;72.77;75.13;
243;73.06;74.75;72.56;75.15;
244;74.88;75.04;74.24;75.81;
245;74.84;75.41;74.05;76.05;
246;75.14;75.15;74.73;75.94;
247;75.65;75.96;75.16;76.15;
248;75.94;76.65;75.13;76.84;
249;76.78;78.19;76.64;78.54;
250;78.45;78.43;76.92;78.93;
251;78.57;78.54;78.29;79.73;
252;78.66;77.69;77.29;78.98;
253;77.93;77.84;77.56;78.44;
254;77.73;74.78;74.42;77.84;
255;74.52;73.03;72.59;75.0;
256;73.45;73.81;72.47;74.89;
257;73.69;73.82;73.0;74.56;
258;74.2;78.57;73.78;78.76;
259;78.82;80.25;78.54;81.34;
260;80.2;78.52;78.21;80.34;
261;78.8;79.39;78.63;80.13;
262;78.92;78.45;78.43;79.45;
263;79.02;76.35;76.09;79.51;
264;76.08;76.73;75.2;77.84;
265;76.31;75.72;75.41;77.04;
266;75.81;77.66;75.59;77.86;
267;77.47;78.58;76.52;78.89;
268;78.73;77.86;77.78;79.37;
269;78.19;77.24;76.56;78.4;
270;77.14;76.04;75.83;77.62;
271;76.0;77.62;75.02;77.91;
272;77.89;79.03;77.84;79.58;
273;79.64;78.04;78.04;80.19;
274;77.6;77.98;76.88;78.46;
275;77.9;76.74;76.47;78.32;
276;77.02;75.95;75.61;77.4;
277;75.12;74.32;74.2;76.2;
278;74.01;73.05;72.51;74.41;
279;73.91;74.15;73.17;74.74;
280;74.31;76.27;74.19;76.54;
281;76.29;75.41;74.92;76.5;
282;74.79;73.88;73.76;75.21;
283;75.0;73.61;73.47;75.65;
284;72.55;73.5;71.99;73.7;
285;72.85;74.27;72.71;75.3;
286;74.12;74.45;73.83;75.33;
287;74.36;73.09;72.85;74.9;
288;74.73;71.21;70.76;75.5;
289;71.88;73.27;71.45;73.37;
290;73.43;72.43;71.78;73.96;
291;72.06;72.95;71.36;73.22;
292;73.03;71.93;71.83;73.4;
293;71.43;71.56;70.81;72.06;
294;71.32;72.41;70.9;72.45;
295;73.18;73.03;72.22;73.75;
296;73.05;73.6;72.66;74.13;
297;74.14;74.33;73.71;74.83;
298;73.74;74.94;73.48;75.18;
299;75.98;75.93;73.02;140.0;
300;75.74;75.46;74.95;75.87;
301;75.78;75.04;74.78;76.91;
302;75.22;75.68;74.44;77.68;
303;76.29;77.71;76.05;77.71;
304;77.87;77.26;77.08;78.77;
305;77.44;76.52;76.2;77.62;
306;76.29;74.02;73.7;76.47;
307;73.74;73.84;73.05;74.45;
308;73.83;73.77;73.53;74.51;
309;74.35;74.96;73.41;75.31;
310;75.29;74.11;73.91;75.58;
311;73.91;73.43;72.88;74.85;
312;73.63;74.44;73.0;74.76;
313;74.8;74.34;73.95;75.34;
314;75.19;74.31;73.01;76.19;
315;73.73;73.72;73.22;74.09;
316;73.73;73.15;73.01;74.15;
317;72.94;72.37;71.48;72.95;
318;71.86;73.8;71.48;74.17;
319;73.5;71.64;71.25;74.65;
