"Название","Тикер","Цена","Изм.%","Рыночная кап.","Объём"
"Quidel","QDEL-RM","10.380,00","-1,14%","406,52B","4"
"Raven Russia","RAVN","30,20","-2,11%","16,86B","50.900"
"Raytheon Technologies","RTX-RM","6.472,00","-0,32%","9,69T","1"
"Wynn Resorts","WYNN-RM","6.500,00","6,38%","703,2B","15"
"Roper Technologies","ROP-RM","33.569,00","0,00%","3,43T","0"
"Ross Stores","ROST-RM","7.831,00","0,90%","2,75T","200"
"T Rowe","TROW-RM","13.857,00","0,00%","3,17T","0"
"Salesforce.com","CRM-RM","19.716,00","-0,05%","19,27T","3"
"Sarepta","SRPT-RM","7.041,00","0,76%","543,76B","1"
"Taiwan Semiconductor","TSM-RMDR","7.954,00","-0,20%","3,21T","770"
"Sherwin-Williams","SHW-RM","21.389,00","0,00%","5,53T","0"
"Skyworks","SWKS-RM","11.780,00","0,00%","1,93T","0"
"Snap","SNAP-RM","5.540,00","0,00%","8,7T","0"
"Southern","SO-RM","4.520,00","0,00%","4,76T","1"
"Splunk","SPLK-RM","10.827,00","-0,39%","1,75T","3"
"Starbucks","SBUX-RM","8.086,00","0,11%","9,48T","18"
"State Street","STT-RM","6.440,00","10,84%","2,33T","10"
"Stryker","SYK-RM","0,00","0,00%","7,19T","0"
"Sysco","SYY-RM","5.829,00","0,00%","3,04T","0"
"Take-Two","TTWO-RM","12.207,00","3,96%","1,35T","84"
"Tapestry","TPR-RM","2.783,00","0,00%","761,76B","0"
"Target","TGT-RM","16.525,00","-0,02%","8,04T","3"
"Uber Tech","UBER-RM","3.427,00","0,20%","6,48T","4.781"
"Teledyne Technologies","TDY-RM","31.078,00","0,00%","1,44T","0"
"Tyler Technologies","TYL-RM","33.048,00","0,00%","1,38T","0"
"Tesla","TSLA-RM","56.760,00","-0,28%","56,32T","455"
"Textron","TXT-RM","5.271,00","0,00%","1,18T","0"
"TJX","TJX-RM","4.716,00","-0,04%","5,6T","18"
"Western Union","WU-RM","1.502,00","0,94%","606,73B","43"
"UnitedHealth","UNH-RM","28.537,00","0,00%","27,36T","0"
"Unum","UNM-RM","1.965,00","0,00%","399,28B","0"
"Verizon","VZ-RM","3.894,00","0,49%","16T","69"
"Vertex","VRTX-RM","12.950,00","0,15%","3,35T","13"
"VF","VFC-RM","4.797,00","0,00%","1,93T","0"
"ViacomCBS","VIAC-RM","2.873,00","-0,07%","1,85T","1.231"
"Viatris","VTRS-RM","984,00","0,51%","1,18T","301"
"Zoom Video","ZM-RM","18.364,00","-0,41%","5,47T","19"
"Vipshop","VIPS-RMDR","800,00","1,39%","535,01B","5.456"
"Vontier","VNT-RM","2.428,00","-0,41%","408,25B","1"
"Walmart","WMT-RM","10.040,00","0,15%","27,83T","8"
"Williams","WMB-RM","1.967,00","0,00%","2,41T","0"
"Xilinx","XLNX-RM","11.164,00","0,00%","2,81T","0"
"Xpeng","XPEV-RMDR","2.750,00","-0,36%","2,35T","55"
"Абрау-Дюрсо","ABRD","195,00","1,04%","18,87B","6.380"
"Банк Авангард","AVAN","1.145,00","0,44%","89,98B","52"
"Авиакомпания ЮТэйр","UTAR","6,90","-0,58%","25,23B","1.800"
"ВСМПО-АВИСМА ОАО","VSMO","37.480,0","0,00%","417,25B","229"
"РОС АГРО ПЛС","AGRODR","1.194,60","3,91%","154,51B","299.065"
"АК АЛРОСА","ALRS","136,73","2,19%","967,65B","10.159.730"
"Русская Аквакультура","AQUA","577,50","0,79%","49,72B","21.370"
