"Название","Тикер","Цена","Изм.%","Рыночная кап.","Объём"
"First Solar","FSLR-RM","7.013,00","0,19%","743,27B","4"
"FirstEnergy","FE-RM","2.650,00","0,00%","1,43T","1"
"Fiserv","FISV-RM","7.874,00","0,00%","5,19T","0"
"Thermo Fisher Scientific","TMO-RM","42.222,00","0,17%","16,46T","59"
"Fix Price Group","FIXPDR","661,80","1,04%","550,37B","35.903"
"Tyson Foods","TSN-RM","5.659,00","0,16%","2,06T","15"
"Hormel Foods","HRL-RM","3.005,00","0,94%","1,61T","2"
"Ford Motor","F-RM","1.072,00","0,37%","4,26T","9.329"
"Fortive","FTV-RM","5.162,00","0,62%","1,84T","1"
"Franklin Resources","BEN-RM","2.198,00","-0,54%","1,1T","22"
"Freeport-McMoran","FCX-RM","2.465,00","-0,16%","3,61T","473"
"Funko","FNKO-RM","1.336,00","-0,89%","52,75B","2.682"
"G1 Therapeutics","GTHX-RM","900,00","0,90%","37,7B","931"
"Virgin Galactic Holdings","SPCE-RM","1.669,00","-0,24%","423,8B","6.527"
"Procter&Gamble","PG-RM","10.233,00","-0,02%","24,77T","40"
"Penn National Gaming","PENN-RM","5.459,00","-0,66%","802,39B","1"
"Gap","GPS-RM","1.712,00","-0,17%","638,06B","615"
"Gaz PAO Pref","GAZA_p","365,00","1,39%","9,17B","220"
"General Mills","GIS-RM","4.415,00","-1,36%","2,66T","10"
"General Motors","GM-RM","4.072,00","3,01%","5,61T","2.186"
"Genuine Parts","GPC-RM","8.979,00","0,00%","1,29T","0"
"Gilead","GILD-RM","4.885,00","0,00%","6,12T","0"
"S&P Global","SPGI-RM","31.362,00","2,27%","7,47T","2"
"Globaltrans Inv","GLTRDR","593,40","0,28%","104,77B","140.920"
"Newmont Goldcorp","NEM-RM","3.947,00","-0,70%","3,15T","20"
"Goldman Sachs","GS-RM","28.158,00","0,21%","9,01T","102"
"WW Grainger","GWW-RM","30.102,00","-0,19%","1,56T","1"
"Mail.ru Group","MAILDR","1.469,40","-1,71%","333,51B","86.834"
"X5 Retail Group","FIVEDR","2.435,5","0,39%","662,06B","76.241"
"Svetofor Group PAO","SVET","80,60","0,75%","1,79B","429"
"TCS Group Holding PLC","TCSGDR","7.107,00","-0,46%","1,41T","127.997"
"Hello Group","MOMO-RMDR","808,00","2,28%","162,59B","2.572"
"Northrop Grumman","NOC-RM","27.514,00","0,00%","4,41T","0"
"GTL","GTLC","0,0595","0,34%","153,94M","1.151.000"
"Halliburton","HAL-RM","1.698,00","0,83%","1,49T","1.007"
"Hanesbrands","HBI-RM","1.239,00","0,81%","427,5B","1"
"Hartford","HIG-RM","5.235,00","-0,17%","1,8T","1"
"Kraft Heinz","KHC-RM","2.677,00","0,64%","3,25T","541"
"Heron Therapeuti","HRTX-RM","768,00","1,72%","77,29B","3.685"
"Hess","HES-RM","6.080,00","1,57%","1,85T","28"
"Hewlett Packard","HPE-RM","1.065,00","-0,47%","1,39T","562"
"Hilton Worldwide","HLT-RM","9.844,00","0,00%","2,82T","0"
"HMS Hydraulic Machines","HMSGDR","332,00","-0,15%","7,21B","60"
"PayPal Holdings Inc","PYPL-RM","18.941,00","0,03%","22,2T","155"
"Hologic","HOLX-RM","5.121,00","0,00%","1,3T","0"
"Honeywell","HON-RM","15.724,00","0,00%","10,85T","0"
"Howmet","HWM-RM","2.322,00","-0,04%","989,61B","30"
"HP Inc","HPQ-RM","2.018,00","-0,79%","2,32T","20"
"Humana","HUM-RM","28.186,00","0,00%","3,72T","0"
"IBM","IBM-RM","10.200,00","0,18%","9,11T","40"
