"Название","Тикер","Цена","Изм.%","Рыночная кап.","Объём"
"Саратовский НПЗ","KRKN","12.000,0","-2,04%","9,16B","151"
"Саратовский НПЗ (прив.)","KRKN_p","15.680,0","2,48%","9,16B","576"
"НПК ОВК","UWGN","102,10","-0,68%","11,92B","70.804"
"ОАК ОАО","UNAC","0,7635","-0,46%","399,21B","4.572.000"
"Росинтер ОАО","ROST","77,80","-1,52%","1,28B","37.430"
"РБК ОАО","RBCM","3,86","0,63%","1,35B","64.300"
"Энел Россия ОАО","ENRU","0,8772","-0,02%","31,04B","11.091.000"
"ТЗА ОАО","TUZA","107,50","2,38%","863,1M","8.910"
"Самараэнерго ОАО","SAGO","0,878","12,85%","2,75B","1.776.000"
"РКК Энергия ОАО","RKKE","7.350,0","0,96%","13,42B","26"
"ТРК ОАО (прив.)","TORS_p","0,2835","0,53%","1,46B","50.000"
"ЧТПЗ ОАО","CHEP","314,00","0,00%","95,99B","0"
"ОКС","UCSS","990,00","0,00%","23,48B","18"
"ОМЗ Прив","OMZZ_p","4.240,0","0,12%","3,31T","1"
"ОР","ORUP","24,92","1,30%","2,77B","88.200"
"Органический синтез","KZOS_p","30,80","0,00%","192,97B","80.450"
"Органический Синтез","KZOS","108,30","0,19%","192,97B","13.400"
"ПАЗ","PAZA","6.560,0","0,00%","10,22B","0"
"Фонд первичных","FPR","2.342,60","1,02%","-","10.364"
"Пермэнергосбыт","PMSB","197,10","3,79%","6,88B","151.790"
"Пермэнергосбыт (прив.)","PMSB_p","161,40","1,25%","6,88B","45.300"
"Полюс","PLZL","12.279,5","-0,65%","1,68T","54.080"
"Центральный Телеграф (прив.)","CNTL_p","9,64","0,84%","2,14B","29.700"
"Саратовэнерго (прив.)","SARE_p","0,1086","-0,91%","642,2M","610.000"
"Татнефть (прив.)","TATN_p","526,60","0,71%","1,28T","771.392"
"Сбербанк (прив.)","SBER_p","340,67","0,38%","8,32T","671.030"
"Химпром (прив.)","HIMC_p","13,79","0,80%","682,01M","85.600"
"Ставропольэнергосбыт (прив.)","STSB_p","0,6480","1,17%","746,54M","591.000"
"Тамбовэнергосбыт (прив.)","TASB_p","0,5265","3,64%","818,69M","980.000"
"Славнефть ЯНОС (прив.)","JNOS_p","20,72","0,29%","27,78B","22.000"
"Сургутнефтегаз (прив.)","SNGS_p","40,625","0,58%","1,31T","4.799.100"
"Транснефть (прив.)","TRNF_p","158.650","0,03%","1,14T","108"
"Ростелеком (прив.)","RTKM_p","84,20","0,60%","300,4B","28.770"
"ТНС энерго Ярославль (прив.)","YRSB_p","99,50","5,85%","4,11B","14.020"
"Россети (прив.)","RSTI_p","1,953","0,05%","268,41B","1.509.000"
"Самараэнерго (прив.)","SAGO_p","0,869","19,86%","2,75B","480.000"
"ЦМТ (прив.)","WTCM_p","8,80","-0,23%","8,81B","400"
"Якутскэнерго (прив.)","YKEN_p","0,3345","0,00%","2,81B","60.000"
"Селигдар (прив.)","SELG_p","49,60","3,01%","39,46B","132.800"
"ЧЗПСН-Профнастил","PRFN","2,519","-0,24%","2,11B","510.700"
"Распадская","RASP","387,16","-0,35%","258,65B","171.650"
"Росбанк","ROSB","81,60","-0,49%","127,21B","50"
"Росгосстрах","RGSS","0,2400","-0,83%","118,46B","477.000"
"РосДорБанк","RDRB","228,00","0,00%","3,43B","40"
"Роснефть","ROSN","638,45","-1,47%","5,93T","2.848.676"
"Россети","RSTI","1,375","2,12%","268,41B","126.730.000"
"Ростелеком","RTKM","90,41","0,56%","300,4B","445.490"
"РУСАЛ","RUAL","73,220","0,99%","1,05T","8.403.690"
"РусГидро","HYDR","0,8055","-0,35%","351,66B","102.630.000"
"Русгрэйн Холдинг","RUGR","12,42","1,50%","526,12M","130.760"
