"Название","Тикер","Цена","Изм.%","Рыночная кап.","Объём"
"ICE","ICE-RM","9.076,00","0,29%","5,11T","3"
"IFF","IFF-RM","0,00","0,00%","2,47T","0"
"Illinois Tool Works","ITW-RM","15.521,00","2,13%","4,86T","15"
"Illumina","ILMN-RM","29.279,00","1,12%","4,25T","2"
"Teladoc Inc","TDOC-RM","9.464,00","0,68%","1,49T","24"
"Macy’s Inc","M-RM","1.622,00","0,56%","500,94B","189"
"SolarEdge Technologies Inc","SEDG-RM","18.862,00","-0,73%","987,77B","54"
"Twitter Inc","TWTR-RM","4.570,00","-0,37%","3,65T","139"
"Square Inc","SQ-RM","17.770,00","-1,00%","8,28T","205"
"ServiceNow Inc","NOW-RM","45.899,00","-1,05%","9,06T","8"
"NortonLifeLock Inc","NLOK-RM","1.830,00","-0,44%","1,05T","5"
"Qorvo Inc","QRVO-RM","11.915,00","-0,34%","1,32T","6"
"Incyte","INCY-RM","4.749,00","0,94%","1,04T","363"
"PPG Industries","PPG-RM","10.403,00","0,00%","2,56T","0"
"Ingersoll Rand","IR-RM","3.728,00","0,00%","1,56T","0"
"Texas Instruments","TXN-RM","14.016,00","-0,83%","12,93T","1"
"Marriott Int","MAR-RM","11.074,00","0,00%","3,68T","0"
"Intel","INTC-RM","3.902,00","0,13%","15,77T","304"
"International Paper","IP-RM","0,00","0,00%","1,52T","0"
"Intuit","INTU-RM","38.793,00","0,00%","10,53T","0"
"Intuitive Surgical","ISRG-RM","24.498,00","0,24%","8,66T","1"
"IPG","IPG-RM","2.716,00","0,00%","1,06T","0"
"J&J","JNJ-RM","11.648,00","0,52%","30,45T","14"
"JPMorgan","JPM-RM","12.308,00","0,52%","36,44T","2"
"Juniper","JNPR-RM","2.044,00","0,00%","667,34B","0"
"Kellogg","K-RM","4.537,00","0,13%","1,54T","1"
"KeyCorp","KEY-RM","1.630,00","-0,12%","1,56T","9"
"Kinder Morgan","KMI-RM","1.226,00","0,33%","2,72T","88"
"KLA-Tencor","KLAC-RM","23.819,00","-0,72%","3,6T","1"
"Kroger","KR-RM","2.856,00","1,46%","2,11T","8"
"Lam Research","LRCX-RM","40.091,00","-0,31%","5,61T","1"
"Las Vegas Sands","LVS-RM","2.680,00","1,09%","2,03T","4"
"Leggett&Platt","LEG-RM","3.296,00","0,00%","435,46B","0"
"Lennar","LEN-RM","0,00","0,00%","2,05T","0"
"Lincoln National","LNC-RM","5.096,00","0,00%","973,32B","0"
"Livent","LTHM-RM","1.713,00","-0,35%","276,54B","900"
"Lockheed Martin","LMT-RM","25.335,00","0,15%","6,98T","55"
"Lowe’s","LOW-RM","14.920,00","-0,76%","10,33T","68"
"Lumen Technologies","LUMN-RM","911,00","0,22%","1,01T","107"
"Marathon Oil","MRO-RM","1.121,00","1,08%","868,11B","347"
"Marathon Petroleum","MPC-RM","4.586,00","0,00%","2,91T","0"
"Robinhood Markets","HOOD-RM","3.013,00","-0,40%","2,58T","11"
"Mastercard","MA-RM","25.424,00","-0,08%","25,04T","10"
"Vulcan Materials","VMC-RM","12.810,00","0,00%","1,68T","0"
"McDonald’s","MCD-RM","17.908,00","0,21%","13,29T","20"
"MetLife","MET-RM","4.680,00","0,00%","3,97T","0"
"MGM","MGM-RM","3.209,00","0,00%","1,55T","0"
"Micron","MU-RM","5.070,00","0,08%","5,7T","333"
"Microsoft","MSFT-RM","21.174,00","-0,40%","158,84T","73"
"MicroStrategy","MSTR-RM","50.606,00","2,63%","499,85B","193"
