"Название","Тикер","Цена","Изм.%","Рыночная кап.","Объём"
"Дагэнергосбыт","DASB","0,1992","9,87%","955,29M","62.740.000"
"ДВМП ОАО","FESH","28,65","-1,38%","85,73B","198.900"
"Инвест-Девелопмент","IDVP","62.000,0","0,00%","130,85B","0"
"Детский мир","DSKY","135,32","-0,09%","99,47B","645.000"
"ДЗРД (прив.)","DZRD_p","1.720,00","0,00%","781,25M","8"
"ДЗРД","DZRD","2.275,0","0,00%","781,25M","0"
"ТНС энерго Ростов-на-Дону","RTSB_p","0,798","-11,33%","8,47B","5.760.000"
"ТНС энерго Ростов-на-Дону","RTSB","0,900","-13,63%","8,47B","6.737.000"
"ДЭК ОАО","DVEC","0,931","-0,21%","16,05B","1.442.000"
"Европейская электротехника","EELT","7,06","0,28%","4,29B","52.530"
"Интер РАО ЕЭС ОАО","IRAO","5,0070","0,01%","368,25B","32.144.100"
"ФСК ЕЭС ОАО","FEES","0,1931","0,60%","241,09B","496.770.000"
"МРСК Севера-Запада","MRKZ","0,0572","0,35%","5,48B","1.140.000"
"Звезда","ZVEZ","4,12","-1,08%","2,34B","1.000"
"ЗИЛ","ZILL","4.235,0","0,12%","11,25B","30"
"Россети Центр и Приволжье","MRKP","0,2640","1,89%","29,2B","16.230.000"
"Ижсталь (прив.)","IGST_p","1.093,00","1,30%","815,14M","12"
"Ижсталь","IGST","1.020,00","0,20%","815,14M","34"
"ИК РУСС-ИНВЕСТ","RUSI","56,30","0,90%","6,02B","70"
"МВЗ им. Миля","MVZMI_p","0,02","0,00%","5,73M","0"
"САФМАР Финансовые инвестиции","SFIN","428,20","-0,05%","20,52B","760"
"Инград ","INGR","1.392,00","-0,22%","57,48B","481"
"Иркут","IRKT","24,36","-0,41%","61,76B","12.300"
"Иркутскэнерго","IRGZ","13,80","-0,43%","66B","73.400"
"ИСКЧ ОАО","ISKJ","88,01","0,47%","6,31B","116.850"
"МРСК Сев. Кавказа","MRKK","28,02","-0,07%","28,02B","460"
"Казанское моторостроительное","KPMOI","0,02","0,00%","-","0"
"Калужская сбытовая","KLSB","14,29","31,10%","818,45M","6.431.900"
"КАМАЗ","KMAZ","99,80","-0,80%","71,15B","87.240"
"Камчатскэнерго","KCHE","0,1920","0,79%","9,35B","330.000"
"Камчатскэнерго (прив.)","KCHE_p","0,419","3,97%","9,35B","120.000"
"Квадра","TGKD","0,007025","0,21%","13,76B","55.400.000"
"Квадра (прив.)","TGKD_p","0,006680","2,69%","13,76B","3.400.000"
"КГК (прив.)","KGKC_p","48,00","1,27%","5,85B","3.820"
"КГК","KGKC","48,20","0,84%","5,85B","1.490"
"Ковровский механический","KMEZ","1.197,00","1,18%","4,45B","113"
"Красный котельщик (прив.)","KRKO_p","11,60","1,05%","10,19B","8.800"
"Красный котельщик","KRKO","11,80","0,00%","10,19B","0"
"Красноярскэнергосбыт","KRSB","8,96","0,45%","5,34B","44.200"
"Красноярскэнергосбыт (прив.)","KRSB_p","9,38","0,00%","5,34B","11.800"
"Красный Октябрь","KROT","406,00","1,37%","3,69B","480"
"Красный Октябрь (прив.)","KROT_p","331,50","5,24%","3,69B","730"
"КСБ (прив.)","KTSB_p","0,3310","2,64%","606,56M","330.000"
"КСБ","KTSB","0,698","0,00%","606,56M","71.000"
"КТК ОАО","KBTK","187,20","0,00%","18,55B","0"
"Кубанская энергосбытовая","KBSB","167,00","4,38%","2,7B","14.530"
"Кубаньэнерго","KUBE","70,00","1,16%","23,16B","200"
"Южный Кузбасс ОАО","UKUZ","1.830,00","-1,51%","67,09B","4.751"
"Уральская кузница","URKZ","16.880,0","0,36%","9,21B","1"
"КуйбышевАзот","KAZT","407,40","0,84%","71,79B","19.030"
