"Название","Тикер","Цена","Изм.%","Рыночная кап.","Объём"
"РуссНефть","RNFT","183,00","0,33%","53,65B","96.524"
"РЭСК","RZSB","17,92","-0,67%","3,73B","82.800"
"Саратовэнерго","SARE","0,1336","1,21%","642,2M","2.480.000"
"Сахалинэнерго","SLEN","4,00","3,09%","4,8B","421.900"
"Сбербанк","SBER","369,81","0,24%","8,32T","10.738.950"
"Северсталь","CHMF","1.580,00","1,28%","1,31T","489.293"
"Селигдар","SELG","49,85","3,21%","39,46B","168.600"
"Синарский трубный","SNTZI","0,02","0,00%","10,07B","0"
"Система","AFKS","27,50","-1,38%","261,12B","19.832.100"
"Славнефть-ЯНОС","JNOS","22,50","-1,75%","27,78B","21.200"
"Совкомфлот","FLOT","86,28","0,91%","199,89B","700.480"
"СОЛЛЕРС","SVAV","218,50","0,23%","7,1B","4.610"
"Ставропольэнергосбыт","STSB","0,8405","-3,28%","746,54M","223.000"
"Сургутнефтегаз","SNGS","36,900","1,10%","1,31T","18.883.600"
"Тамбовэнергосбыт","TASB","0,5580","1,73%","818,69M","510.000"
"Татнефть","TATN","575,80","1,14%","1,28T","1.637.759"
"Таттелеком","TTLK","0,7275","1,39%","14,99B","2.815.000"
"Центральный телеграф","CNTL","13,60","-0,87%","2,14B","20.700"
"ТМК","TRMK","96,78","2,63%","97,42B","322.420"
"ТНС энерго Ярославль","YRSB","246,00","2,50%","4,11B","6.590"
"ТНС энерго","TNSE","980,00","1,03%","13,26B","569"
"ТРК","TORS","0,380","-0,52%","1,46B","30.000"
"ФармСинтез","LIFE","5,91","-0,08%","1,78B","217.200"
"ФосАгро","PHOR","5.740,0","3,44%","715,88B","153.111"
"Химпром","HIMC","0,990","0,00%","682,01M","0"
"ЦМТ","WTCM","9,72","0,41%","8,81B","3.200"
"Черногорнефть","CHGZ","39,40","-0,51%","1,06B","660"
"ЧКПЗ","CHKZ","5.920,0","0,68%","3,53B","2"
"ЧМК","CHMK","6.085,0","1,33%","18,94B","537"
"Электроцинк","ELTZ","186,00","3,91%","251,37M","1.604"
"Юнипро","UPRO","2,772","0,40%","172,31B","5.508.000"
"Якутскэнерго","YKEN","0,3640","3,12%","2,81B","480.000"
"Яндекс","YNDX","5.654,8","-0,88%","2,04T","110.767"
"ЯТЭК","YAKG","126,20","-0,24%","104,61B","11.900"
