"Название","Тикер","Цена","Изм.%","Рыночная кап.","Объём"
"CF Industries","CF-RM","4.310,00","-2,05%","936,56B","353"
"CH Robinson","CHRW-RM","6.455,00","0,00%","847,75B","0"
"The Charles Schwab","SCHW-RM","5.478,00","0,00%","10,34T","0"
"Charter Communications","CHTR-RM","52.972,00","-2,19%","9,78T","37"
"Chevron","CVX-RM","7.649,00","0,80%","14,65T","1.479"
"Cigna","CI-RM","14.830,00","0,00%","5T","0"
"Cincinnati Financial","CINF-RM","8.548,00","-0,07%","1,37T","1.927"
"Cinemark","CNK-RM","1.548,00","1,44%","179,36B","11"
"Cintas","CTAS-RM","28.198,00","0,00%","2,99T","0"
"Cisco","CSCO-RM","3.958,00","0,15%","16,64T","577"
"Citigroup","C-RM","5.217,00","-1,21%","10,49T","28"
"Citizens Financial Group Inc","CFG-RM","3.512,00","-0,65%","1,49T","10"
"Kimberly-Clark","KMB-RM","9.633,00","0,00%","3,23T","0"
"Cleveland-Cliffs","CLF-RM","1.498,00","0,67%","742,64B","2.498"
"Clorox","CLX-RM","11.840,00","0,00%","1,45T","0"
"Clover Health Investments","CLOV-RM","533,00","0,57%","226,96B","660"
"CME Group","CME-RM","14.413,00","0,05%","5,2T","1"
"CMS Energy","CMS-RM","4.359,00","-0,32%","1,26T","1.586"
"Merck&Co","MRK-RM","5.927,00","1,13%","14,89T","529"
"Organon Co","OGN-RM","2.377,00","0,59%","596,89B","6"
"Goodyear Tire & Rubber Co","GT-RM","1.346,00","1,51%","370,3B","3"
"Hershey Co","HSY-RM","12.919,00","0,00%","2,63T","0"
"McCormick&Co","MKC-RM","5.812,00","0,00%","1,54T","0"
"Wells Fargo&Co","WFC-RM","3.464,00","1,26%","14,12T","1.916"
"Coca-Cola","KO-RM","3.872,00","-0,21%","16,7T","618"
"Coinbase Global","COIN-RM","18.246,00","0,57%","3,82T","33"
"Colgate-Palmolive","CL-RM","5.444,00","0,00%","4,59T","0"
"Comcast","CMCSA-RM","4.119,00","4,25%","18,89T","209"
"ConAgra Foods","CAG-RM","2.439,00","-1,65%","1,18T","5.617"
"ConocoPhillips","COP-RM","5.178,00","0,86%","6,86T","289"
"Consolidated Edison","ED-RM","5.375,00","0,00%","1,88T","0"
"Contextlogic","WISH-RM","372,00","-0,53%","233,2B","437"
"Copart","CPRT-RM","0,00","0,00%","2,39T","0"
"Southern Copper","SCCO-RM","4.200,00","0,12%","3,23T","5"
"Corning","GLW-RM","2.643,00","-0,26%","2,26T","503"
"News Corp","NWS-RM","1.726,00","0,70%","1,02T","1"
"Truist Financial Corp","TFC-RM","4.357,00","0,35%","5,79T","342"
"CVS Health Corp","CVS-RM","6.021,00","0,00%","7,96T","0"
"Corteva","CTVA-RM","3.100,00","1,44%","2,24T","1"
"Costco","COST-RM","32.966,00","0,00%","14,4T","0"
"Coty Inc","COTY-RM","587,00","0,69%","478,54B","769"
"CSX","CSX-RM","2.312,00","-1,07%","5,19T","1"
"United Medical Group Cy Plc","GEMCDR","1.069,80","1,71%","94,66B","6.113"
"Danaher","DHR-RM","21.716,00","0,00%","15,49T","0"
"DuPont De Nemours","DD-RM","5.064,00","-0,59%","2,62T","3"
"Home Depot","HD-RM","24.316,00","-0,75%","25,53T","6"
"Novosibirsk development1 ZPIFN","PEkREN","1.710,60","-0,09%","-","1.733"
"Devon Energy","DVN-RM","2.805,00","1,93%","1,86T","2.245"
"DexCom","DXCM-RM","39.054,00","-0,09%","3,74T","1"
"Diamondback","FANG-RM","7.667,00","2,95%","1,36T","590"
