"Название","Тикер","Цена","Изм.%","Рыночная кап.","Объём"
"Акрон","AKRN","8.758,0","7,20%","303,82B","14.278"
"АЛРОСА-Нюрба","ALNU","65.400,0","0,00%","52,32B","0"
"АО Лепсе","LEPSI","0,02","0,00%","-","0"
"УК Арсагера","ARSA","7,22","-1,37%","906,34M","19.000"
"Южурал-Аско","ACKO","5,56","0,00%","2,98B","3.900"
"Ашинский метзавод","AMEZ","22,70","2,27%","10,9B","3.382.700"
"Аэрофлот","AFLT","71,28","0,31%","170,31B","2.578.290"
"АЭСК","ASSB","0,8910","3,66%","657,95M","1.221.000"
"Банк Уралсиб","USBN","0,1108","0,18%","39,83B","13.990.000"
"Банк Приморье","PRMB","42.000,0","1,45%","10,35B","2"
"Банк Санкт-Петербург","BSPB","81,55","3,02%","39,24B","304.980"
"Банк Кузнецкий","KUZB","0,023","0,00%","523,43M","2.820.000"
"Бест Эффортс Банк","ALBK","106,50","0,00%","6,02B","0"
"Башинформсвязь","BISV","8,67","0,00%","8,26B","0"
"Башинформсвязь (прив.)","BISV_p","8,31","-0,12%","8,26B","20.100"
"Башнефть ПАО","BANE","1.533,0","1,52%","251,64B","12.171"
"Башнефть (прив.)","BANE_p","1.163,50","0,78%","251,64B","25.006"
"Белон","BLNG","15,15","-1,27%","17,65B","203.000"
"Белуга","BELU","3.379,00","1,17%","42,45B","9.061"
"Московская биржа","MOEX","175,99","-0,60%","399,78B","1.103.280"
"Бурятзолото","BRZL","1.198,00","0,00%","8,42B","20"
"Варьеганнефтегаз (прив.)","VJGZ_p","885,00","-1,45%","35,46B","583"
"Варьеганнефтегаз","VJGZ","1.951,00","-0,46%","35,46B","469"
"Медиа группа Война и Мир","MGVMI","0,3550","0,00%","17,22M","0"
"МРСК Волги ОАО","MRKV","0,0624","8,81%","10,79B","141.720.000"
"Волгоградэнергосбыт","VGSB","4,035","0,50%","1,28B","99.000"
"Волгоградэнергосбыт (прив.)","VGSB_p","2,090","3,47%","1,28B","167.000"
"Воронежская ЭСК (прив.)","VRSB_p","76,00","28,38%","5,55B","303.500"
"Воронежская ЭСК","VRSB","138,20","39,88%","5,55B","316.750"
"ВТБ","VTBR","0,054175","-0,19%","691,12B","22.068.430.000"
"ВХЗ","VLHZ","80,40","1,13%","397,95M","11.190"
"Выборгский ССЗ","VSYD","4.790,0","0,42%","9,27B","10"
"Выборгский ССЗ (прив.)","VSYD_p","4.760,0","0,00%","9,27B","7"
"Газ","GAZA","493,50","0,71%","9,17B","120"
"Газпром Ростов-на-Дону","RTGZ","34.700,0","0,29%","4,21B","1"
"Газпром","GAZP","368,88","-0,49%","8,72T","31.628.840"
"Газпром нефть","SIBN","516,40","0,27%","2,46T","737.300"
"Галс-Девелопмент","HALS","913,00","0,00%","10,07B","0"
"ГИТ ПАО","GRNT","0,3135","3,98%","222,21M","5.955.600"
"ГК Самолет","SMLT","4.992,20","1,17%","303,87B","20.112"
"Роллман ГК","RLMN","9,70","-0,51%","60,95M","3.140"
"Роллман ГК (прив.)","RLMN_p","13,80","0,73%","60,95M","1.280"
"Глобалтрак","GTRK","35,55","-0,14%","2,08B","7.970"
"Коршуновский ГОК","KOGK","49.600,0","2,06%","12,16B","14"
"Сибирский гостинец","SIBG","0,1175","0,43%","70,2M","1.641.800"
"ЭН+ Груп","ENPG","833,50","0,06%","471,15B","100.280"
"Сегежа Групп","SGZH","9,097","1,40%","140,75B","20.405.400"
"Группа Компаний ПИК","PIKK","1.297,10","-0,60%","858,65B","214.418"
"Группа ЛСР","LSRG","757,00","0,13%","75,79B","6.821"
"Группа Черкизово","GCHE","3.252,0","5,88%","120,68B","10.710"
