"Название","Тикер","Цена","Изм.%","Рыночная кап.","Объём"
"Western Digital","WDC-RM","4.108,00","-0,53%","1,26T","6"
"Discover","DFS-RM","9.233,00","0,00%","2,74T","0"
"DISH Network","DISH-RM","3.249,00","0,00%","1,72T","0"
"Walt Disney","DIS-RM","12.778,00","-0,01%","23,15T","28"
"Dollar General","DG-RM","15.242,00","1,53%","3,53T","2"
"Dollar Tree","DLTR-RM","7.031,00","0,16%","1,58T","1"
"Dominion Energy","D-RM","5.329,00","-0,17%","4,28T","1"
"Dover","DOV-RM","11.564,00","0,00%","1,65T","0"
"Dow","DOW-RM","4.215,00","0,00%","3,11T","0"
"DR Horton","DHI-RM","6.094,00","-0,54%","2,16T","58"
"OKey DRC","OKEYDR","47,90","-1,03%","13,1B","20.020"
"MD Medical DRC","MDMGDR","821,00","1,15%","60,35B","6.599"
"Duke Energy","DUK-RM","7.300,00","0,00%","5,57T","0"
"DXC Technology","DXC-RM","2.490,00","0,08%","625,72B","2"
"General Dynamics","GD-RM","14.365,00","0,00%","4,04T","0"
"eBay","EBAY-RM","5.338,00","2,14%","3,46T","28"
"Ecolab","ECL-RM","15.707,00","0,00%","4,44T","0"
"TAL Education","TAL-RMDR","340,00","0,59%","219,57B","2.766"
"Edwards Lifesciences","EW-RM","0,00","0,00%","4,96T","0"
"eHealth","EHTH-RM","3.159,00","1,31%","81,71B","78"
"General Electric","GE-RM","7.564,00","-0,34%","8,3T","249"
"Eli Lilly","LLY-RM","16.581,00","0,00%","15,15T","0"
"Emerson","EMR-RM","7.061,00","0,71%","4,17T","2"
"Southwestern Energy","SWN-RM","381,00","1,33%","381,7B","18.172"
"Xcel Energy","XEL-RM","4.630,00","0,85%","2,47T","1"
"NextEra Energy","NEE-RM","5.829,00","0,48%","11,38T","96"
"PBF Energy","PBF-RM","1.057,00","1,93%","124,65B","641"
"Valero Energy","VLO-RM","5.457,00","0,00%","2,23T","0"
"Renewable Energy","REGI-RM","3.844,00","0,03%","193B","82"
"Jacobs Engineering","J-RM","9.637,00","0,00%","1,26T","0"
"Enphase","ENPH-RM","11.249,00","-0,72%","1,52T","4"
"Public Service Enterprise","PEG-RM","4.372,00","0,00%","2,19T","0"
"Live Nation Entertainment","LYV-RM","7.178,00","0,00%","1,56T","0"
"EOG Resources","EOG-RM","6.258,00","1,08%","3,59T","1"
"Etalon Group","ETLNDR","113,96","-0,26%","43,22B","116.325"
"Etsy Inc","ETSY-RM","15.500,00","-0,50%","1,97T","1"
"Exelon","EXC-RM","3.550,00","0,00%","3,41T","0"
"Expedia","EXPE-RM","12.323,00","0,00%","1,86T","0"
"Expeditors Washington","EXPD-RM","8.355,00","0,00%","1,41T","0"
"Exxon Mobil","XOM-RM","4.398,00","0,89%","18,41T","138"
"F5 Networks","FFIV-RM","14.099,00","0,00%","879,36B","0"
"Facebook","FB-RM","23.688,00","0,20%","66,54T","564"
"Fastenal","FAST-RM","3.769,00","-0,40%","2,17T","1.302"
"Fastly","FSLY-RM","2.947,00","5,25%","339,45B","28"
"FedEx","FDX-RM","16.113,00","-1,14%","4,25T","110"
"Fidelity National Info","FIS-RM","8.684,00","-1,46%","5,36T","636"
"Fifth Third","FITB-RM","3.179,00","0,00%","2,17T","0"
"Regions Financial","RF-RM","1.572,00","0,38%","1,5T","1"
"Prudential Financial","PRU-RM","7.815,00","0,00%","3,01T","0"
"Synchrony Financial","SYF-RM","3.614,00","0,00%","2,03T","0"
