"Название","Тикер","Цена","Изм.%","Рыночная кап.","Объём"
"ANSYS","ANSS-RM","25.281,00","0,20%","2,18T","1"
"Anthem","ANTM-RM","27.279,00","0,00%","6,65T","0"
"AO Smith","AOS-RM","4.512,00","0,00%","737,83B","0"
"APA Corp","APA-RM","1.675,00","1,82%","620,63B","2.772"
"Apple","AAPL-RM","10.280,00","-0,07%","169,8T","619"
"Applied Materials","AMAT-RM","9.180,00","-1,64%","8,28T","7"
"Archer-Daniels-Midland","ADM-RM","4.560,00","0,35%","2,53T","7"
"Under Armour C","UA-RM","1.316,00","0,30%","658,91B","1"
"Electronic Arts","EA-RM","9.901,00","0,11%","2,81T","14"
"Assurant","AIZ-RM","11.803,00","0,24%","685,93B","1"
"AT&T","T-RM","1.949,00","-1,02%","13,87T","1.324"
"Atmos Energy","ATO-RM","6.488,00","0,00%","841,59B","0"
"Li Auto","LI-RMDR","2.065,00","-0,67%","2,1T","736"
"Fox Corp B","FOX-RM","2.813,00","0,00%","1,67T","0"
"Molson Coors Brewing B","TAP-RM","3.438,00","0,00%","738,56B","0"
"Berkshire Hathaway B","BRKB-RM","20.355,00","8,33%","45,9T","174"
"Baidu","BIDU-RMDR","11.275,00","0,23%","3,91T","759"
"Baker Hughes","BKR-RM","1.811,00","2,14%","1,48T","142"
"U.S. Bancorp","USB-RM","4.469,00","0,00%","6,58T","0"
"Huntington Bancshares","HBAN-RM","1.146,00","-1,38%","1,69T","2.041"
"Bank SanktPeterburg PAO","BSPB_p","20,35","-2,86%","31,86B","137.500"
"Bank of NY Mellon","BK-RM","3.961,00","0,76%","3,37T","2"
"Bath Body Works","BBWI-RM","4.620,00","1,12%","1,21T","10"
"Baxter","BAX-RM","5.929,00","0,00%","2,89T","0"
"Becton Dickinson","BDX-RM","17.636,00","0,00%","4,98T","0"
"Best Buy","BBY-RM","0,00","0,00%","1,9T","0"
"Monster Beverage","MNST-RM","6.474,00","0,06%","3,41T","2"
"Beyond Meat","BYND-RM","7.517,00","-1,74%","473,45B","9"
"Bilibili","BILI-RMDR","5.027,00","-0,28%","1,94T","605"
"Biogen","BIIB-RM","20.723,00","0,36%","3,08T","123"
"BlackRock","BLK-RM","60.887,00","0,36%","9,19T","2"
"Bluebird","BLUE-RM","1.347,00","-2,39%","91,46B","4"
"Boeing","BA-RM","16.271,00","0,12%","9,52T","88"
"Booking","BKNG-RM","178.610","0,00%","7,27T","0"
"Walgreens Boots","WBA-RM","3.415,00","0,00%","2,97T","0"
"BorgWarner","BWA-RM","3.309,00","0,21%","786,95B","5"
"Boston Scientific","BSX-RM","3.164,00","1,18%","4,45T","16"
"Newell Brands","NWL-RM","1.625,00","0,62%","685,84B","1"
"Bristol-Myers Squibb","BMY-RM","4.238,00","0,05%","9,4T","62"
"Broadcom","AVGO-RM","35.462,00","-0,50%","14,57T","12"
"Brown Forman","BFB-RM","4.814,00","0,00%","2,29T","0"
"Caesars","CZR-RM","8.430,00","0,00%","1,78T","1"
"Campbell Soup","CPB-RM","3.063,00","0,00%","912,15B","0"
"Capital One Financial","COF-RM","12.172,00","0,00%","5,39T","0"
"Cardinal Health","CAH-RM","3.513,00","-0,11%","996,75B","1"
"Carrier Global","CARR-RM","3.867,00","0,00%","3,32T","0"
"Caterpillar","CAT-RM","14.063,00","0,16%","7,68T","11"
"Centene","CNC-RM","4.613,00","0,94%","2,63T","244"
"CenterPoint Energy","CNP-RM","1.854,00","-0,38%","1,09T","1"
"Cerner","CERN-RM","5.045,00","0,00%","1,5T","0"
