"Название","Тикер","Цена","Изм.%","Рыночная кап.","Объём"
"ТГК №1 ОАО","TGKA","0,011216","0,25%","42,49B","652.200.000"
"ТГК №14 ОАО","TGKN","0,002900","1,05%","3,9B","78.000.000"
"ОГК-2 ОАО","OGKB","0,7070","0,80%","78,28B","20.184.000"
"ТГК №2 ОАО","TGKB","0,004345","1,40%","4,65B","113.000.000"
"ТГК-2 ОАО (прив.)","TGKB_p","0,0066","0,00%","4,65B","10.700.000"
"Аптечная сеть 36","APTK","13,73","0,22%","104,54B","29.650"
"3M","MMM-RM","12.796,00","-0,42%","7,38T","12"
"Phillips 66","PSX-RM","5.712,00","0,00%","2,49T","0"
"Ralph Lauren A","RL-RM","8.383,00","0,00%","617,65B","0"
"Discovery A","DISCA-RM","1.913,00","1,22%","1,23T","40"
"Nio A ADR","NIO-RMDR","2.590,00","-0,88%","4,23T","1.925"
"Visa A","V-RM","16.551,00","0,06%","35,15T","4"
"Cognizant A","CTSH-RM","0,00","0,00%","2,84T","0"
"Abbott Labs","ABT-RM","8.522,00","0,52%","14,98T","343"
"AbbVie","ABBV-RM","8.001,00","-0,15%","14,05T","52"
"ABIOMED","ABMD-RM","24.525,00","0,00%","1,11T","0"
"ACADIA","ACAD-RM","1.238,00","0,08%","196,46B","2"
"Activision Blizzard","ATVI-RM","5.559,00","-0,57%","4,31T","408"
"Adobe","ADBE-RM","41.685,00","-0,05%","19,75T","20"
"ADP","ADP-RM","14.866,00","-0,63%","6,29T","1"
"JD.com Inc Adr","JD-RMDR","5.463,00","-0,38%","8,52T","986"
"Alibaba ADR","BABA-RMDR","11.517,00","2,78%","30,43T","9.340"
"HeadHunter ADR","HHRUDR","3.955,00","-0,05%","193,4B","1.905"
"Novartis ADR","NVS-RMDR","5.946,00","0,30%","13,27T","6"
"PetroChina ADR","PTR-RMDR","3.767,00","-3,16%","944,62B","411"
"SAP ADR","SAP-RMDR","9.756,00","-0,09%","11,55T","11"
"Toyota Motor ADR","TM-RMDR","12.360,00","1,39%","16,62T","262"
"Sony ADR","SONY-RMDR","7.669,00","0,74%","9,33T","23"
"The AES","AES-RM","1.738,00","1,58%","1,12T","2"
"Aflac","AFL-RM","3.852,00","0,00%","2,6T","0"
"AIG","AIG-RM","4.150,00","0,00%","3,51T","0"
"Delta Air Lines","DAL-RM","3.158,00","0,45%","2T","55"
"Air Products","APD-RM","18.322,00","0,00%","4,18T","0"
"Southwest Airlines","LUV-RM","3.911,00","0,39%","2,29T","4"
"United Airlines Holdings","UAL-RM","3.565,00","0,28%","1,15T","556"
"American Airlines","AAL-RM","1.457,00","0,07%","937,19B","3.706"
"Albemarle","ALB-RM","16.178,00","0,00%","1,87T","0"
"Alcoa","AA-RM","3.393,00","1,43%","630,7B","366"
"Alphabet C","GOOG-RM","200.117","-0,01%","133,07T","11"
"Alteryx","AYX-RM","5.296,00","0,00%","353,48B","0"
"Altria","MO-RM","3.340,00","0,15%","6,14T","25"
"Amazon.com","AMZN-RM","237.232","1,60%","119,89T","12"
"AMC Entertainment","AMC-RM","2.726,00","1,00%","1,41T","213"
"AMD","AMD-RM","7.643,00","0,17%","9,26T","348"
"Bank of America","BAC-RM","3.185,00","0,47%","26,61T","63"
"American Express","AXP-RM","12.618,00","0,00%","9,93T","0"
"American Electric Power","AEP-RM","6.124,00","0,00%","3,02T","0"
"Amgen","AMGN-RM","15.116,00","0,70%","8,51T","2"
"Amphenol","APH-RM","5.436,00","0,00%","3,24T","0"
"Analog Devices","ADI-RM","0,00","0,00%","6,44T","0"
